id,sheet,severity,type,detail
1,Crece,alta,filas preenumeradas vacías,877 filas tienen N° pero no publican beneficiario ni monto.
2,Reactívate,crítica,pestaña sin beneficiarios útiles,"La pestaña contiene 647 filas preenumeradas con N° pero sin beneficiario, región ni monto."
3,MejoraNegocios,crítica,pestaña sin beneficiarios útiles,"La pestaña contiene 623 filas preenumeradas con N° pero sin beneficiario, región ni monto."
4,FormaciónL2,crítica,pestaña sin beneficiarios útiles,"La pestaña contiene 3510 filas preenumeradas con N° pero sin beneficiario, región ni monto."
5,Formación L3 Ruta Digital,alta,filas preenumeradas vacías,418 filas tienen N° pero no publican beneficiario ni monto.
6,PromociónComercialización,alta,monto prorrateado sin transferencia directa,El encabezado señala que no hay transferencia directa y que el monto se divide por cantidad de beneficiarios; varias filas no tienen monto individual.
7,PromociónComercialización,media,monto informado sin transferencia directa,"La pestaña acumula $54,242,980 pese a declararse como sin transferencia directa o prorrateada."
8,Redes,crítica,pestaña sin beneficiarios útiles,"La pestaña contiene 923 filas preenumeradas con N° pero sin beneficiario, región ni monto."
9,Almacenes,alta,filas preenumeradas vacías,199 filas tienen N° pero no publican beneficiario ni monto.
10,AsesoríasVirtual,alta,filas preenumeradas vacías,195 filas tienen N° pero no publican beneficiario ni monto.
11,CapacitaciónVirtual,alta,filas preenumeradas vacías,195 filas tienen N° pero no publican beneficiario ni monto.
12,CapacitaciónVirtual,crítica,nombre de servicio inconsistente,La pestaña CapacitaciónVirtual declara el mismo Nombre Servicio o Programa que AsesoríasVirtual: Servicios virtuales - Asesoría Virtual.
13,CSEmprende,alta,filas preenumeradas vacías,216 filas tienen N° pero no publican beneficiario ni monto.
14,JUNTOS,crítica,pestaña sin beneficiarios útiles,"La pestaña contiene 587 filas preenumeradas con N° pero sin beneficiario, región ni monto."
15,GremiosRegionales,media,N° repetido,1 repeticiones excedentes de N° en la nómina.
16,GremiosNacionales,crítica,código presupuestario anómalo,"La línea presupuestaria se publica como 8.01.2021, incompatible con el patrón 24.01.xxx usado en el resto del archivo."
17,Barrios,crítica,pestaña sin beneficiarios útiles,"La pestaña contiene 60 filas preenumeradas con N° pero sin beneficiario, región ni monto."
18,Barrios,alta,monto prorrateado sin transferencia directa,El encabezado señala que no hay transferencia directa y que el monto se divide por cantidad de beneficiarios.
19,Centros,alta,fecha errónea,Se detecta una fecha textual con año 20120 en la pestaña Centros.
20,AsesoríasVirtual + CapacitaciónVirtual,crítica,pestañas duplicadas,"Las pestañas AsesoríasVirtual y CapacitaciónVirtual son idénticas fila por fila, incluida metadata, beneficiarios y fechas."
